#Volume(Ang^3) E(kJ/mol) E_fit(kJ/mol) 
337.508473 -813847.161824 -813846.988928
333.654574 -813849.994612 -813849.962136
329.953023 -813852.458241 -813852.505835
326.636487 -813854.403737 -813854.504630
324.218483 -813855.683014 -813855.783317
322.013479 -813856.723857 -813856.810382
319.822761 -813857.643200 -813857.692858
317.983981 -813858.269130 -813858.322500
315.871534 -813858.868864 -813858.914967
314.104269 -813859.276290 -813859.298467
312.356311 -813859.544563 -813859.572980
310.728547 -813859.744352 -813859.731226
309.080125 -813859.847803 -813859.792080
307.318402 -813859.830853 -813859.742248
306.281361 -813859.705463 -813859.655517
303.495814 -813859.267875 -813859.202784
302.172377 -813858.918908 -813858.870923
300.758502 -813858.462832 -813858.429671
299.511364 -813857.982560 -813857.963765
298.028332 -813857.383119 -813857.313091
296.810965 -813856.747592 -813856.698046
295.586040 -813856.042554 -813856.003225
294.405260 -813855.299622 -813855.259225
293.256162 -813854.470581 -813854.463234
292.149370 -813853.630421 -813853.627585
288.952715 -813850.783039 -813850.817026
286.951332 -813848.688448 -813848.741443
284.177966 -813845.341937 -813845.436216
282.381583 -813842.960066 -813843.014648
278.187125 -813836.356966 -813836.436394
274.681372 -813829.823244 -813829.863177
271.167453 -813822.221461 -813822.194617
267.537387 -813813.104507 -813813.028402
