#Temperature (K)     Optimal Volume (Ang^3)    Free Energy (kJ/mol)    Entropy (J/(mol K))    Enthalpy (kJ/mol)    Fvib (kJ/mol)    Internal Energy (kJ/mol)
0.000000   314.216949   -813008.814199   0.000000   850.438077   850.438077     -813859.252277
25.000000   314.245745   -813008.854292   7.129202   850.570473   850.392243     -813859.246535
50.000000   314.465607   -813009.372332   36.737166   851.666297   849.829439     -813859.201770
75.000000   314.872638   -813010.757944   74.667075   853.956696   848.356666     -813859.114610
100.000000   315.407034   -813013.111873   113.507349   857.230671   845.879936     -813858.991809
125.000000   316.027245   -813016.420993   150.926875   861.282409   842.416549     -813858.837542
150.000000   316.708866   -813020.643297   186.570187   865.995910   838.010382     -813858.653679
175.000000   317.437696   -813025.736175   220.616217   871.312452   832.704614     -813858.440789
200.000000   318.204995   -813031.663051   253.334646   877.202699   826.535770     -813858.198821
225.000000   319.005470   -813038.393931   284.974573   883.652636   819.533357     -813857.927288
250.000000   319.835881   -813045.904518   315.741588   890.656312   811.720915     -813857.625433
275.000000   320.694242   -813054.175090   345.796615   898.211301   803.117232     -813857.292322
300.000000   321.579514   -813063.189436   375.260601   906.315580   793.737399     -813856.926835
